"time","GIMV","GIMV( volume )"
"2001-05-07 02:00","45.6","825"
"2001-05-08 02:00","45.7","785"
"2001-05-09 02:00","45.55","5753"
"2001-05-10 02:00","45.75","14154"
"2001-05-11 02:00","44.9","2322"
"2001-05-14 02:00","44","4547"
"2001-05-15 02:00","45.75","6264"
"2001-05-16 02:00","43","7889"
"2001-05-17 02:00","42","5247"
"2001-05-18 02:00","42.5","2901"
"2001-05-21 02:00","43","2946"
"2001-05-22 02:00","42.66","2514"
"2001-05-23 02:00","42.1","2430"
"2001-05-25 02:00","42.1","310"
"2001-05-28 02:00","42.12","1376"
"2001-05-29 02:00","42.5","255"
"2001-05-30 02:00","42.1","3028"
"2001-05-31 02:00","42.5","768"
"2001-06-01 02:00","41.1","1025"
"2001-06-05 02:00","41.2","1242"
"2001-06-06 02:00","41.6","1503"
"2001-06-07 02:00","41.89","4877"
"2001-06-08 02:00","41.16","5715"
"2001-06-11 02:00","42","3717"
"2001-06-12 02:00","43","927"
"2001-06-13 02:00","42","2799"
"2001-06-14 02:00","41.6","1912"
"2001-06-15 02:00","41.26","750"
"2001-06-18 02:00","41.2","2859"
"2001-06-19 02:00","41","2285"
"2001-06-20 02:00","41.49","3943"
"2001-06-21 02:00","40.1","1675"
"2001-06-22 02:00","39.6","2644"
"2001-06-25 02:00","39","5851"
"2001-06-26 02:00","38.26","1752"
"2001-06-27 02:00","38","1913"
"2001-06-28 02:00","38.45","1175"
"2001-06-29 02:00","38","2035"
"2001-07-02 02:00","39.02","1155"
"2001-07-03 02:00","39.95","908"
"2001-07-04 02:00","39","736"
"2001-07-05 02:00","39.99","1140"
"2001-07-06 02:00","40.5","1865"
"2001-07-09 02:00","40.49","1247"
"2001-07-10 02:00","37.95","3444"
"2001-07-11 02:00","38.85","3475"
"2001-07-12 02:00","38","1286"
"2001-07-13 02:00","37","5057"
"2001-07-16 02:00","36.8","2660"
"2001-07-17 02:00","36.15","1505"
"2001-07-18 02:00","36.5","1060"
"2001-07-19 02:00","36.9","1668"
"2001-07-20 02:00","36.9","1355"
"2001-07-23 02:00","36.9","1464"
"2001-07-24 02:00","36.85","225"
"2001-07-25 02:00","36.5","1318"
"2001-07-26 02:00","36","2481"
"2001-07-27 02:00","35.95","1950"
"2001-07-30 02:00","34.76","1375"
"2001-07-31 02:00","34.95","1410"
"2001-08-01 02:00","36.8","3210"
"2001-08-02 02:00","36","1500"
"2001-08-03 02:00","36.45","2568"
"2001-08-06 02:00","36.58","504"
"2001-08-07 02:00","36","1550"
"2001-08-08 02:00","36.49","2235"
"2001-08-09 02:00","36.49","1832"
"2001-08-10 02:00","36.45","745"
"2001-08-13 02:00","36","2794"
"2001-08-14 02:00","35.5","6573"
"2001-08-16 02:00","35.5","2281"
"2001-08-17 02:00","35.2","7550"
"2001-08-20 02:00","35.5","521"
"2001-08-21 02:00","35.4","3919"
"2001-08-22 02:00","35","1267"
"2001-08-23 02:00","34","1686"
"2001-08-24 02:00","34.8","895"
"2001-08-27 02:00","34.1","2025"
"2001-08-28 02:00","34.7","385"
"2001-08-29 02:00","33.6","2454"
"2001-08-30 02:00","33.7","2213"
"2001-08-31 02:00","33.25","2435"
"2001-09-03 02:00","33","1090"
"2001-09-04 02:00","33","2260"
"2001-09-05 02:00","32.6","2882"
"2001-09-06 02:00","29.15","2132"
"2001-09-07 02:00","26.49","9192"
"2001-09-10 02:00","26.1","7071"
"2001-09-11 02:00","25.52","26217"
"2001-09-12 02:00","25.11","5482"
"2001-09-13 02:00","25.61","5804"
"2001-09-14 02:00","26","8856"
"2001-09-17 02:00","27.44","3988"
"2001-09-18 02:00","27","7080"
"2001-09-19 02:00","27","7686"
"2001-09-20 02:00","26","6691"
"2001-09-21 02:00","25.1","5591"
"2001-09-24 02:00","26.4","3947"
"2001-09-25 02:00","26.7","2049"
"2001-09-26 02:00","28.3","3442"
"2001-09-27 02:00","29.75","3710"
"2001-09-28 02:00","31.5","4184"
"2001-10-01 02:00","30.75","4185"
"2001-10-02 02:00","29.01","3943"
"2001-10-03 02:00","29.02","4937"
"2001-10-04 02:00","29","4182"
"2001-10-05 02:00","28.5","1430"
"2001-10-08 02:00","28","4510"
"2001-10-09 02:00","28","1680"
"2001-10-10 02:00","28.29","572"
"2001-10-11 02:00","28.36","2757"
"2001-10-12 02:00","28.4","4973"
"2001-10-15 02:00","28.5","2197"
"2001-10-16 02:00","28.16","2536"
"2001-10-17 02:00","28.65","5081"
"2001-10-18 02:00","28.5","8262"
"2001-10-19 02:00","28","4664"
"2001-10-22 02:00","28.75","3383"
"2001-10-23 02:00","29","5582"
"2001-10-24 02:00","28.04","4560"
"2001-10-25 02:00","27.2","7193"
"2001-10-26 02:00","27.65","3501"
"2001-10-29 01:00","27.7","1524"
"2001-10-30 01:00","27","8939"
"2001-10-31 01:00","26.7","919"
"2001-11-01 01:00","27.2","100"
"2001-11-02 01:00","26.58","4211"
